tunnel,ring,polynomial_ovalization_mm,raw_conic_ovalization_mm,abs_difference_mm
8,1,41.48,40.93,0.55
8,2,44.26,43.89,0.36
8,3,43.45,43.97,0.52
8,4,41.71,42.04,0.33
8,5,49.03,48.78,0.26
8,6,47.01,45.81,1.19
8,7,43.99,42.17,1.82
8,8,45.00,45.67,0.67
8,9,50.18,46.58,3.60
8,10,43.85,44.36,0.51
8,11,48.51,46.29,2.22
8,12,49.41,46.87,2.54
8,13,47.12,47.45,0.34
9,1,50.75,48.37,2.38
9,2,46.60,45.99,0.61
9,3,51.48,48.81,2.66
9,4,48.78,46.09,2.70
9,5,46.18,46.41,0.23
9,6,49.86,47.38,2.48
9,7,46.11,45.88,0.23
9,8,44.29,42.62,1.67
9,9,40.07,40.89,0.82
9,10,43.17,40.49,2.68
9,11,42.85,42.60,0.25
9,12,45.65,42.95,2.70
