tunnel,ring,convergence_per_mille_d,ovalization_mm,ellipticity_per_mille,max_joint_dislocation_mm,max_joint_rotation_deg,fit_rmse_mm,dislocation_mm
8,1,2.24,41.5,15.1,3.0,5.06,4.48,3.0
8,2,2.40,44.3,16.1,5.4,5.45,4.54,5.4
8,3,2.17,43.5,15.8,1.8,5.31,5.01,1.8
8,4,1.59,41.7,15.2,2.2,3.48,5.23,2.2
8,5,3.38,49.0,17.8,2.7,2.48,4.92,2.7
8,6,2.94,47.0,17.1,1.6,8.21,4.53,1.6
8,7,2.48,44.0,16.0,2.6,3.04,5.53,2.6
8,8,2.29,45.0,16.4,4.7,5.46,5.67,4.7
8,9,4.22,50.2,18.2,2.6,2.15,6.04,2.6
8,10,2.42,43.9,15.9,3.1,3.55,5.08,3.1
8,11,3.91,48.5,17.6,3.3,1.99,5.70,3.3
8,12,3.80,49.4,18.0,4.3,12.49,7.04,4.3
8,13,3.36,47.1,17.1,3.9,4.17,6.54,3.9
9,1,4.60,50.7,18.5,2.5,5.59,5.37,2.5
9,2,3.73,46.6,16.9,3.9,4.17,5.80,3.9
9,3,4.93,51.5,18.7,2.5,4.56,5.25,2.5
9,4,4.07,48.8,17.7,3.4,8.34,5.72,3.4
9,5,3.57,46.2,16.8,5.2,5.88,5.96,5.2
9,6,4.50,49.9,18.1,3.9,9.57,6.71,3.9
9,7,3.88,46.1,16.8,1.0,3.91,6.05,1.0
9,8,3.20,44.3,16.1,3.5,12.07,6.86,3.5
9,9,2.71,40.1,14.6,4.0,2.55,5.86,4.0
9,10,3.66,43.2,15.7,2.5,4.36,5.09,2.5
9,11,3.60,42.9,15.6,4.2,7.96,5.01,4.2
9,12,4.34,45.6,16.6,3.0,7.67,5.55,3.0
